iso3c,ref_area.label,country,region,income_group,income_group_2,cluster_pimsa,peq_estado,excl_tamaño,ocde,n_ocup_totales,n_tcp_fliares_totales,n_tcp_fliares_calif_baja,n_tcp_fliares_no_agro,n_no_agro_calif_baja,prop_ocup_totales,prop_tcp_fliares_totales,prop_tcp_fliares_calif_baja,prop_tcp_fliares_no_agro,prop_no_agro_calif_baja,prop_tcp_fliares_no_agro_calif_baja
HUN,Hungary,Hungary,Europe & Central Asia,High income,01 Altos ingresos,C1. Cap. avanzado,No peq. estado,No excluible,OCDE,4088.2929090909092,459.8934545454545,6.454454545454546,395.54172727272726,366.3756363636364,0.2092893928501428,11.249033882156903,0.1586174830562865,9.674985038209547,9.00364141802127,0.04448319122149919
IDN,Indonesia,Indonesia,East Asia & Pacific,Lower middle income,03 Medios-bajos ingresos,C3. Cap. extensión c/peso campo,No peq. estado,No excluible,No OCDE,116825.82927272728,59312.45236363637,3943.061777777778,29229.124363636365,14210.468333333332,5.980590779915628,50.769981889170055,3.4037451509692462,25.019402426326142,12.268226919340966,0.7174956613304406
IND,India,India,South Asia,Lower middle income,03 Medios-bajos ingresos,C4. Cap. escasa extensión c/peso campo,No peq. estado,No excluible,No OCDE,370831.9645,284371.724,80055.88633333333,121378.25600000001,44399.95,18.983766189318537,76.6847929043614,22.47764734492278,32.731335920207606,12.339702178247444,2.9529223911149236
IRL,Ireland,Ireland,Europe & Central Asia,High income,01 Altos ingresos,C1. Cap. avanzado,No peq. estado,No excluible,OCDE,2048.6621818181816,333.91727272727275,12.487454545454545,250.88954545454547,160.34463636363637,0.10487586719492607,16.299284269060024,0.6130896756907279,12.246506411900555,7.883357712511276,1.1533031440164558e-9
IRN,Iran (Islamic Republic of),"Iran, Islamic Rep.",Middle East & North Africa,Lower middle income,03 Medios-bajos ingresos,C3. Cap. extensión c/peso campo,No peq. estado,No excluible,No OCDE,21472.337363636365,8735.176636363636,651.0275454545455,5832.1281818181815,2700.762909090909,1.0992197843544878,40.681070199449984,3.0846363328010953,27.161124022273203,12.865381452747258,NA
ISL,Iceland,Iceland,Europe & Central Asia,High income,01 Altos ingresos,C1. Cap. avanzado,No peq. estado,No excluible,OCDE,176.43566666666666,21.423,0.32422222222222224,18.301555555555556,10.34690909090909,0.009032159479489913,12.142102787229339,0.18450837812203605,10.372934169898882,5.780704405262849,0.1216336204251514
ISR,Israel,Israel,Middle East & North Africa,High income,01 Altos ingresos,C1. Cap. avanzado,No peq. estado,No excluible,OCDE,3583.041625,320.343875,6.14525,313.155875,204.28990909090908,0.1834243834597919,8.94055689347455,0.17850966830541995,8.739945213446969,6.282617540077245,0.11278016842788632
ITA,Italy,Italy,Europe & Central Asia,High income,01 Altos ingresos,C1. Cap. avanzado,No peq. estado,No excluible,OCDE,22656.418636363636,5497.338454545455,223.58554545454547,5075.798636363636,2143.4378181818183,1.1598357079599766,24.263933955220114,0.9976285805853139,22.403358261649352,9.563922031239077,0.1408895482934861
JAM,Jamaica,Jamaica,Latin America & Caribbean,Upper middle income,02 Medios-altos ingresos,C2. Cap. extensión reciente c/desarrollo profundidad,No peq. estado,No excluible,No OCDE,1142.1264999999999,420.8528,22.698,242.2333,130.9242857142857,0.05846815946370425,36.84817750047828,2.064447356956209,21.20897291149448,11.75299361688321,0.6410774312953205
JOR,Jordan,Jordan,Middle East & North Africa,Upper middle income,02 Medios-altos ingresos,C1. Cap. avanzado,No peq. estado,No excluible,No OCDE,2188.1536666666666,204.584,11.886000000000001,194.50933333333333,217.11499999999998,0.11201676654359727,9.3496175847491525,0.5432021506283812,8.889198976123097,9.922366237829067,0.4761885628335974
