iso3c,calificacion,ocupacion,rama,freq
BRB,2.Media,1.Asalariado_patr,1.Agro,3.7979200191849913
BRB,3-Alta,1.Asalariado_patr,1.Agro,0.29724618367110356
BRB,1.Baja,3.TCP_fliares,1.Agro,0.6320106102779276
BRB,2.Media,3.TCP_fliares,1.Agro,5.490723757828653
BRB,3-Alta,3.TCP_fliares,1.Agro,0.30653406976933956
BRB,1.Baja,1.Asalariado_patr,2.No_agro,12.308944694789597
BRB,2.Media,1.Asalariado_patr,2.No_agro,31.094443091760933
BRB,3-Alta,1.Asalariado_patr,2.No_agro,20.92733099628058
BRB,1.Baja,3.TCP_fliares,2.No_agro,1.0456436669778624
BRB,2.Media,3.TCP_fliares,2.No_agro,14.64485637588161
BRB,3-Alta,3.TCP_fliares,2.No_agro,7.0306400075409075
BRN,1.Baja,1.Asalariado_patr,1.Agro,6.546570090743124
BRN,2.Media,1.Asalariado_patr,1.Agro,2.6754455317792245
BRN,3-Alta,1.Asalariado_patr,1.Agro,0.8310788365025599
BRN,1.Baja,3.TCP_fliares,1.Agro,1.0674646052759889
BRN,2.Media,3.TCP_fliares,1.Agro,4.428419256450026
BRN,3-Alta,3.TCP_fliares,1.Agro,0.8652081982604399
BRN,1.Baja,1.Asalariado_patr,2.No_agro,12.471851416487207
BRN,2.Media,1.Asalariado_patr,2.No_agro,32.64187247078339
BRN,3-Alta,1.Asalariado_patr,2.No_agro,31.874684037661616
BRN,1.Baja,3.TCP_fliares,2.No_agro,0.15033260191016468
BRN,2.Media,3.TCP_fliares,2.No_agro,3.994020270737961
BRN,3-Alta,3.TCP_fliares,2.No_agro,2.453052683408287
BTN,1.Baja,1.Asalariado_patr,1.Agro,0.019483361673592204
BTN,2.Media,1.Asalariado_patr,1.Agro,0.9100906534813272
BTN,3-Alta,1.Asalariado_patr,1.Agro,0.00489382744820159
BTN,1.Baja,3.TCP_fliares,1.Agro,0.20047518107239182
BTN,2.Media,3.TCP_fliares,1.Agro,86.41849678950061
BTN,3-Alta,3.TCP_fliares,1.Agro,0.2957429399181159
BTN,1.Baja,1.Asalariado_patr,2.No_agro,0.9226914756411383
BTN,2.Media,1.Asalariado_patr,2.No_agro,4.26564753063468
BTN,3-Alta,1.Asalariado_patr,2.No_agro,3.1731108216413126
BTN,1.Baja,3.TCP_fliares,2.No_agro,0.05933798022523501
BTN,2.Media,3.TCP_fliares,2.No_agro,2.53155023422872
BTN,3-Alta,3.TCP_fliares,2.No_agro,1.198479204534671
BWA,1.Baja,1.Asalariado_patr,1.Agro,11.025237096928333
BWA,2.Media,1.Asalariado_patr,1.Agro,11.816738999399773
BWA,3-Alta,1.Asalariado_patr,1.Agro,0.19294817223401556
BWA,1.Baja,3.TCP_fliares,1.Agro,10.825482878365104
BWA,2.Media,3.TCP_fliares,1.Agro,18.827700897241403
BWA,3-Alta,3.TCP_fliares,1.Agro,0.3348063194590603
BWA,1.Baja,1.Asalariado_patr,2.No_agro,10.049098004458296
BWA,2.Media,1.Asalariado_patr,2.No_agro,21.347665119958535
BWA,3-Alta,1.Asalariado_patr,2.No_agro,9.514246699851714
BWA,1.Baja,3.TCP_fliares,2.No_agro,0.9911320725242154
BWA,2.Media,3.TCP_fliares,2.No_agro,3.416607870400027
BWA,3-Alta,3.TCP_fliares,2.No_agro,1.6583358691795143
CHE,1.Baja,1.Asalariado_patr,1.Agro,0.6751948364554952
CHE,2.Media,1.Asalariado_patr,1.Agro,3.974844725109424
CHE,3-Alta,1.Asalariado_patr,1.Agro,0.2836773008271602
CHE,1.Baja,3.TCP_fliares,1.Agro,0.6506485588265236
CHE,2.Media,3.TCP_fliares,1.Agro,7.557016587399032
CHE,3-Alta,3.TCP_fliares,1.Agro,1.4267631985711724
CHE,1.Baja,1.Asalariado_patr,2.No_agro,4.50240305853601
CHE,2.Media,1.Asalariado_patr,2.No_agro,37.630805429684365
CHE,3-Alta,1.Asalariado_patr,2.No_agro,35.366050815342994
CHE,1.Baja,3.TCP_fliares,2.No_agro,0.1356308103247853
CHE,2.Media,3.TCP_fliares,2.No_agro,2.2365074403262915
CHE,3-Alta,3.TCP_fliares,2.No_agro,5.560457238596734
CHL,1.Baja,1.Asalariado_patr,1.Agro,14.361577456069279
CHL,2.Media,1.Asalariado_patr,1.Agro,8.306129816220858
CHL,3-Alta,1.Asalariado_patr,1.Agro,1.3666335379243209
CHL,1.Baja,3.TCP_fliares,1.Agro,3.821887638599868
CHL,2.Media,3.TCP_fliares,1.Agro,4.546211384494736
CHL,3-Alta,3.TCP_fliares,1.Agro,0.24855977762531117
CHL,1.Baja,1.Asalariado_patr,2.No_agro,10.904789951810077
CHL,2.Media,1.Asalariado_patr,2.No_agro,25.343997393944854
CHL,3-Alta,1.Asalariado_patr,2.No_agro,17.05819693317212
CHL,1.Baja,3.TCP_fliares,2.No_agro,2.0501817085071705
CHL,2.Media,3.TCP_fliares,2.No_agro,9.799982628240091
CHL,3-Alta,3.TCP_fliares,2.No_agro,2.1918517733913254
CIV,1.Baja,1.Asalariado_patr,1.Agro,0.7662353445886474
CIV,2.Media,1.Asalariado_patr,1.Agro,6.445145099151189
CIV,3-Alta,1.Asalariado_patr,1.Agro,0.14395763763935157
CIV,1.Baja,3.TCP_fliares,1.Agro,2.003951741669762
