ref_area,ref_area.label,catocup,1.Baja,2.Media,3.Alta,9.SD
IRL,Ireland,1.Asalariado_patr,163.0261818181818,807.3470909090909,733.2605454545454,16.332545454545453
IRL,Ireland,3.TCP_fliares,12.487454545454545,178.71072727272727,141.97518181818182,1.2386363636363635
IRN,"Iran, Islamic Republic of",1.Asalariado_patr,2712.8054545454547,6250.486818181818,3404.9152727272726,480.34736363636364
IRN,"Iran, Islamic Republic of",3.TCP_fliares,651.0275454545455,7649.054,437.19872727272724,0.9309090909090909
ISL,Iceland,1.Asalariado_patr,10.35988888888889,67.96388888888889,76.02388888888889,0.9512222222222222
ISL,Iceland,3.TCP_fliares,0.32422222222222224,10.652555555555557,10.397777777777778,0.19557142857142856
ISL,Iceland,9.SD,0.158,0.5268,0.5538000000000001,0.1928
ISR,Israel,1.Asalariado_patr,207.146875,1321.8855,1592.3705,223.428625
ISR,Israel,3.TCP_fliares,6.14525,135.51487500000002,179.467625,2.603875
ISR,Israel,9.SD,0,0,0,1.151875
ITA,Italy,1.Asalariado_patr,2212.023,9188.119181818181,5514.429636363637,244.50854545454544
ITA,Italy,3.TCP_fliares,223.58554545454547,2578.439,2695.105727272727,1.1440000000000001
JAM,Jamaica,1.Asalariado_patr,117.799,383.0236666666667,182.02816666666666,3.1678333333333333
JAM,Jamaica,3.TCP_fliares,22.698,346.089,47.83316666666667,0.1192
JAM,Jamaica,9.SD,0.2718333333333333,1.3896666666666666,0.891,0.0595
JOR,Jordan,1.Asalariado_patr,211.51233333333334,1282.1066666666668,489.932,0
JOR,Jordan,3.TCP_fliares,11.886000000000001,173.345,19.35366666666667,0
JPN,Japan,1.Asalariado_patr,7911.354363636364,36805.403,11534.958818181818,1086.3829090909092
JPN,Japan,3.TCP_fliares,892.7210909090909,3787.7399090909094,880.8097272727273,60.474000000000004
JPN,Japan,9.SD,52.20709090909091,122.32118181818181,5.5665,264.40209090909093
KEN,Kenya,1.Asalariado_patr,2236.8669999999997,3414.447,1653.5529999999999,55.508
KEN,Kenya,3.TCP_fliares,4357.987,6051.869000000001,909.6980000000001,13.417
KEN,Kenya,9.SD,0,2.133,20.931,0
KGZ,Kyrgyzstan,1.Asalariado_patr,246.0711,751.9161,400.33320000000003,4.811999999999999
KGZ,Kyrgyzstan,3.TCP_fliares,57.8991,704.2064,18.7109,0.6654285714285715
KGZ,Kyrgyzstan,9.SD,16.260428571428573,100.61411111111111,0,0
KHM,Cambodia,1.Asalariado_patr,931.1268,2031.6265,396.4684,65.7706
KHM,Cambodia,3.TCP_fliares,212.2892,4617.1206999999995,64.6886,0
KHM,Cambodia,9.SD,0.4042,5.226857142857143,0.3762,0
KIR,Kiribati,1.Asalariado_patr,2.694,8.568,6.151,0
KIR,Kiribati,3.TCP_fliares,2.163,3.848,0.525,0
KIR,Kiribati,9.SD,0.565,0.489,0.245,0
KOR,Republic of Korea,1.Asalariado_patr,2354.521181818182,6861.015545454546,8335.105272727273,0
KOR,Republic of Korea,3.TCP_fliares,1008.6541818181818,5626.678727272727,1472.5793636363635,0
KOR,Republic of Korea,9.SD,0,0,0,102.74218181818182
KOS,Kosovo,1.Asalariado_patr,47.428875,114.30775,96.81775,6.317166666666667
KOS,Kosovo,3.TCP_fliares,18.793,50.068375,6.1215,1.6753333333333333
KOS,Kosovo,9.SD,0,0,0,0
LAO,Lao People's Democratic Republic,1.Asalariado_patr,67.7995,208.1515,212.6615,42.967
LAO,Lao People's Democratic Republic,3.TCP_fliares,131.3725,2120.2709999999997,87.9315,6.992
LAO,Lao People's Democratic Republic,9.SD,1.48,9.763,1.909,0
LBN,Lebanon,1.Asalariado_patr,219.042,581.688,393.60900000000004,76.371
LBN,Lebanon,3.TCP_fliares,22.721,251.644,44.984,4.644
LBR,Liberia,1.Asalariado_patr,27.387999999999998,146.5795,76.7835,15.728000000000002
LBR,Liberia,3.TCP_fliares,97.881,466.6725,36.070499999999996,187.973
LBR,Liberia,9.SD,0.277,1.404,0.717,0
LCA,Saint Lucia,1.Asalariado_patr,11.023,34.51266666666667,15.952333333333334,1.3513333333333333
LCA,Saint Lucia,3.TCP_fliares,1.269,14.359666666666666,1.8636666666666668,0.36733333333333335
LCA,Saint Lucia,9.SD,0,0.04,0,1.2293333333333334
LKA,Sri Lanka,1.Asalariado_patr,1423.1532222222222,2070.3346666666666,1128.7235555555555,45.50711111111111
LKA,Sri Lanka,3.TCP_fliares,334.66255555555557,2298.2606666666666,421.4316666666667,114.16575
LSO,Lesotho,1.Asalariado_patr,167.06900000000002,189.577,71.662,2.739
LSO,Lesotho,3.TCP_fliares,7.811,198.964,6.278,0
LSO,Lesotho,9.SD,0.348,0.437,0.45,0
LTU,Lithuania,1.Asalariado_patr,109.14472727272728,536.0131818181818,515.3080909090909,4.616181818181818
LTU,Lithuania,3.TCP_fliares,3.7823636363636366,108.13654545454546,42.12790909090909,0
LUX,Luxembourg,1.Asalariado_patr,20.13627272727273,74.15845454545455,127.01681818181818,5.513636363636364
LUX,Luxembourg,3.TCP_fliares,0.7466363636363637,7,14.71418181818182,0.9613636363636363
LUX,Luxembourg,9.SD,0,0.1506,0.17,0.10271428571428572
LVA,Latvia,1.Asalariado_patr,106.636,361.76981818181815,312.6997272727273,5.471454545454545
LVA,Latvia,3.TCP_fliares,8.588818181818182,46.206272727272726,47.18363636363637,0
LVA,Latvia,9.SD,0,0,0,0
MAR,Morocco,1.Asalariado_patr,1768.83,3036.75,920.4,129.07999999999998
MAR,Morocco,3.TCP_fliares,1006.9300000000001,2518.41,55.080000000000005,25.91
MAR,Morocco,9.SD,27.55,37.62,7.15,31.02
MDA,Republic of Moldova,1.Asalariado_patr,116.68254545454545,301.5691818181818,296.7237272727273,5.131636363636364
MDA,Republic of Moldova,3.TCP_fliares,110.83290909090908,847.7412727272728,5.037545454545454,0
MDG,Madagascar,1.Asalariado_patr,387.231,755.883,341.72400000000005,18.6715
MDG,Madagascar,3.TCP_fliares,4317.776,4405.0250000000005,44.342,350.8075
MDG,Madagascar,9.SD,4.464,1.588,2.214,1.368
MDV,Maldives,1.Asalariado_patr,16.127,51.2355,47.6605,2.9907500000000002
MDV,Maldives,3.TCP_fliares,1.57,28.087,5.7135,0.1
MDV,Maldives,9.SD,1.275,3.3394999999999997,0.5366666666666666,2.58425
MEX,Mexico,1.Asalariado_patr,7104.609181818182,20376.205454545456,7643.749545454545,472.518
MEX,Mexico,3.TCP_fliares,2565.953818181818,9743.024363636363,1257.8401818181817,197.8078181818182
MHL,Marshall Islands,1.Asalariado_patr,1.532,6.63,5.303,0.15
MHL,Marshall Islands,3.TCP_fliares,0.798,1.379,0.087,0
MHL,Marshall Islands,9.SD,0.099,0.211,0,0
MKD,North Macedonia,1.Asalariado_patr,52.218636363636364,304.3308181818182,184.23118181818182,6.058909090909091
MKD,North Macedonia,3.TCP_fliares,81.06781818181818,51.89290909090909,9.977727272727273,0
MKD,North Macedonia,9.SD,0,0,0,0.32225
MLI,Mali,1.Asalariado_patr,71.66614285714286,538.2541428571428,174.57314285714284,33.85371428571428
MLI,Mali,3.TCP_fliares,44.449714285714286,4588.1377142857145,38.248,11.997666666666667
MLI,Mali,9.SD,4.71,207.96,4.19,48.971999999999994
MLT,Malta,1.Asalariado_patr,17.677125,80.640375,71.964625,1.865875
MLT,Malta,3.TCP_fliares,1.10725,16.905124999999998,10.799625,0
MLT,Malta,9.SD,0,0,0,0
MMR,Myanmar,1.Asalariado_patr,3024.9382,4694.6810000000005,895.8684,283.97240000000005
MMR,Myanmar,3.TCP_fliares,1209.7459999999999,11660.8256,263.7412,364.92633333333333
MNE,Montenegro,1.Asalariado_patr,11.862111111111112,84.20377777777777,62.25666666666667,1.035625
MNE,Montenegro,3.TCP_fliares,3.9494444444444445,35.873555555555555,19.50177777777778,0
MNE,Montenegro,9.SD,1.309,2.883,0,0
MNG,Mongolia,1.Asalariado_patr,66.41554545454545,234.9502727272727,252.18836363636365,4.940636363636363
MNG,Mongolia,3.TCP_fliares,12.103545454545454,528.5893636363636,19.630545454545455,0
MNG,Mongolia,9.SD,0.5601428571428572,1.4745555555555556,0.27,8.02
MOZ,Mozambique,1.Asalariado_patr,191.017,999.72,333.452,8.959
MOZ,Mozambique,3.TCP_fliares,85.53999999999999,7927.027999999999,28.744,0
MOZ,Mozambique,9.SD,149.129,81.459,15.396,7.121
MUS,Mauritius,1.Asalariado_patr,82.30536363636364,245.0230909090909,111.30709090909092,0.2008888888888889
MUS,Mauritius,3.TCP_fliares,6.092454545454546,73.74063636363637,6.339090909090909,0
MUS,Mauritius,9.SD,0.1442,0.4448333333333333,0.17816666666666667,1.994
MWI,Malawi,1.Asalariado_patr,997.335,1038.924,206.594,0
MWI,Malawi,3.TCP_fliares,237.78699999999998,3314.9030000000002,20.531000000000002,0
MWI,Malawi,9.SD,0,0,0,336.783
NAM,Namibia,1.Asalariado_patr,104.79266666666666,220.7765,99.52733333333333,31.918833333333332
NAM,Namibia,3.TCP_fliares,34.987833333333334,158.80766666666668,9.259,4.114333333333334
NAM,Namibia,9.SD,0.4608,1.392,0.5026,0.8616
NER,Niger,1.Asalariado_patr,128.5105,449.93600000000004,154.834,66.4335
NER,Niger,3.TCP_fliares,75.7645,3656.8160000000003,73.33800000000001,179.161
NER,Niger,9.SD,0,10.239,5.27,33.479
NIC,Nicaragua,1.Asalariado_patr,567.1044999999999,606.3700000000001,323.281,10.3205
NIC,Nicaragua,3.TCP_fliares,411.6565,808.935,41.778999999999996,1.7725
NIC,Nicaragua,9.SD,5.523499999999999,2.8815,0.627,12.3255
NIU,Niue,1.Asalariado_patr,0.056,0.316,0.309,0
NIU,Niue,3.TCP_fliares,0.006,0.032,0.03,0
NLD,Netherlands,1.Asalariado_patr,687.1316363636364,3076.808636363636,3265.047,107.02718181818182
NLD,Netherlands,3.TCP_fliares,37.61318181818182,509.5676363636363,749.7032727272727,16.598909090909093
NLD,Netherlands,9.SD,0,0,0,0
NOR,Norway,1.Asalariado_patr,95.92754545454545,1087.0404545454546,1197.0313636363637,41.97536363636364
NOR,Norway,3.TCP_fliares,2.962727272727273,99.85172727272727,79.56136363636364,1.4725
NOR,Norway,9.SD,0,0,0,0
NPL,Nepal,1.Asalariado_patr,1239.937,2277.8779999999997,909.3209999999999,21.858
NPL,Nepal,3.TCP_fliares,199.54000000000002,2679.3140000000003,69.61,0
NRU,Naoero,1.Asalariado_patr,0.69,1.877,0.846,0
NRU,Naoero,3.TCP_fliares,0.055,0.136,0,0
NRU,Naoero,9.SD,0,0,0,0.146
PAK,Pakistan,1.Asalariado_patr,7768.2901999999995,10003.601,4409.3837,24.232
PAK,Pakistan,3.TCP_fliares,1114.4093,25748.4406,2457.123,3.24275
PAK,Pakistan,9.SD,6.511125,22.055375,17.084875,0
PAN,Panama,1.Asalariado_patr,267.6682222222222,523.4952222222222,387.767,14.733666666666666
PAN,Panama,3.TCP_fliares,59.317,457.4732222222222,31.84811111111111,1.20825
PER,Peru,1.Asalariado_patr,2706.369272727273,3629.7579090909094,2113.3877272727273,115.25663636363636
PER,Peru,3.TCP_fliares,2896.6633636363636,4999.305545454546,294.58527272727275,0
PER,Peru,9.SD,44.560545454545455,28.749636363636363,0.6857272727272727,60.38481818181818
PHL,Philippines,1.Asalariado_patr,8139.520272727273,11331.405,4324.332090909091,320.3585454545455
PHL,Philippines,3.TCP_fliares,3588.7948181818183,6583.969272727273,4431.009636363637,30.7555
PLW,Palau,1.Asalariado_patr,1.102,4.4559999999999995,2.4730000000000003,0
PLW,Palau,3.TCP_fliares,0.138,0.29000000000000004,0.112,0
PLW,Palau,9.SD,0,0,0.039,0.16
PRI,Puerto Rico,1.Asalariado_patr,27.575,597.105,317.803,0.211
PRI,Puerto Rico,3.TCP_fliares,6.916,76.062,43.123999999999995,0
PRT,Portugal,1.Asalariado_patr,494.7551818181818,2022.248090909091,1227.816090909091,25.507181818181817
PRT,Portugal,3.TCP_fliares,28.707636363636365,604.1831818181818,308.50163636363635,0
PRY,Paraguay,1.Asalariado_patr,435.7816363636364,913.348,468.51645454545456,7.308
PRY,Paraguay,3.TCP_fliares,157.34054545454546,973.0575454545454,62.10436363636364,0
PRY,Paraguay,9.SD,2.393666666666667,2.68725,0,1.5863749999999999
PSE,"Palestine, State of",1.Asalariado_patr,129.99872727272728,280.1903636363636,194.71363636363637,67.26666666666667
PSE,"Palestine, State of",3.TCP_fliares,19.342363636363636,183.57463636363636,11.320454545454545,9.284500000000001
PSE,"Palestine, State of",9.SD,0,0,0,0
ROU,Romania,1.Asalariado_patr,508.23745454545457,3644.1675454545452,1831.9244545454546,71.50463636363637
ROU,Romania,3.TCP_fliares,371.6314545454545,2117.655909090909,116.13845454545455,0
