ref_area,ref_area.label,catocup,1.Agro,2.No_agro,9.SD
MOZ,Mozambique,3.TCP_fliares,6784.0070000000005,1257.175,0
MOZ,Mozambique,9.SD,25.313,220.934,5.644
MRT,Mauritania,1.Asalariado_patr,54.376999999999995,266.361,1.652
MRT,Mauritania,3.TCP_fliares,216.7155,278.672,0
MRT,Mauritania,9.SD,11.975000000000001,26.752000000000002,0.866
MUS,Mauritius,1.Asalariado_patr,23.067636363636364,415.50872727272724,0.23600000000000002
MUS,Mauritius,3.TCP_fliares,15.446727272727273,70.52636363636364,0
MUS,Mauritius,9.SD,0.05275,0.4714285714285715,1.993
MWI,Malawi,1.Asalariado_patr,1352.991,843.591,46.205000000000005
MWI,Malawi,3.TCP_fliares,2420.5,1095.191,54.242
MWI,Malawi,9.SD,0,0,336.907
NAM,Namibia,1.Asalariado_patr,62.898,392.14583333333337,2.2556
NAM,Namibia,3.TCP_fliares,116.42183333333334,90.14233333333334,1.00975
NAM,Namibia,9.SD,0.387,2.0136,0.5898
NCL,New Caledonia,1.Asalariado_patr,0.6593333333333333,56.62366666666667,34.529333333333334
NCL,New Caledonia,3.TCP_fliares,0.444,2.921,12.747333333333334
NCL,New Caledonia,9.SD,0,0.35133333333333333,1.2066666666666666
NER,Niger,1.Asalariado_patr,198.60025,472.70775,0.7296666666666667
NER,Niger,3.TCP_fliares,3200.6185,935.118,0
NER,Niger,9.SD,2.162,8.528500000000001,36.011
NIC,Nicaragua,1.Asalariado_patr,386.05600000000004,1119.0484999999999,1.8980000000000001
NIC,Nicaragua,3.TCP_fliares,485.0455,778.5445,0
NIC,Nicaragua,9.SD,5.211500000000001,3.4699999999999998,12.3255
NIU,Niue,1.Asalariado_patr,0.052,0.616,0
NIU,Niue,3.TCP_fliares,0.011,0.052,0
NLD,Netherlands,1.Asalariado_patr,81.68045454545454,6438.142454545455,616.1912727272727
NLD,Netherlands,3.TCP_fliares,102.57763636363637,1086.5094545454544,124.59718181818181
NLD,Netherlands,9.SD,0,0,0
NOR,Norway,1.Asalariado_patr,25.532454545454545,2391.6356363636364,4.806727272727272
NOR,Norway,3.TCP_fliares,33.20272727272727,148.87263636363636,0.7394444444444445
NOR,Norway,9.SD,0,0,0
NPL,Nepal,1.Asalariado_patr,733.342,3715.651,0
NPL,Nepal,3.TCP_fliares,1148.261,1800.203,0
NRU,Naoero,1.Asalariado_patr,0.057,3.352,0
NRU,Naoero,3.TCP_fliares,0.044,0.174,0
NRU,Naoero,9.SD,0,0,0.146
PAK,Pakistan,1.Asalariado_patr,2773.212,19425.9577,0
PAK,Pakistan,3.TCP_fliares,18276.4529,11044.326000000001,0
PAK,Pakistan,9.SD,19.560000000000002,33.7775,0
PAN,Panama,1.Asalariado_patr,81.1771,1081.91,0
PAN,Panama,3.TCP_fliares,183.8544,356.172,0
PER,Peru,1.Asalariado_patr,1045.1701818181818,7519.601545454546,0
PER,Peru,3.TCP_fliares,3388.6522727272727,4801.901272727273,0
PER,Peru,9.SD,31.340818181818182,42.36354545454545,60.38481818181818
PHL,Philippines,1.Asalariado_patr,4232.89425,21088.92975,0
PHL,Philippines,3.TCP_fliares,6762.448375,7649.590625,0
PLW,Palau,1.Asalariado_patr,0.099,7.922,0
PLW,Palau,3.TCP_fliares,0.106,0.40800000000000003,0
PLW,Palau,9.SD,0,0.05,0.16
PRI,Puerto Rico,1.Asalariado_patr,10.691,926.35,5.653
PRI,Puerto Rico,3.TCP_fliares,3.7479999999999998,121.105,1.209
PRT,Portugal,1.Asalariado_patr,82.12881818181818,3688.197909090909,0
PRT,Portugal,3.TCP_fliares,325.7219090909091,615.6554545454545,0
PRY,Paraguay,1.Asalariado_patr,122.36227272727272,1701.667,0.8531428571428572
PRY,Paraguay,3.TCP_fliares,547.9900909090909,644.1672727272727,0
PRY,Paraguay,9.SD,0,3.1896666666666667,1.5863749999999999
PSE,"Palestine, State of",1.Asalariado_patr,27.066727272727274,619.0604545454546,151.971
PSE,"Palestine, State of",3.TCP_fliares,51.44172727272727,162.79981818181818,27.655500000000004
PSE,"Palestine, State of",9.SD,0,0,0
ROU,Romania,1.Asalariado_patr,177.538,5878.296,0
ROU,Romania,3.TCP_fliares,2120.444,485.12781818181816,0
RUS,Russian Federation,1.Asalariado_patr,3040.7110000000002,62831.1569,0
RUS,Russian Federation,3.TCP_fliares,1722.7566,2312.9461,0
RWA,Rwanda,1.Asalariado_patr,936.437,1149.8987499999998,0
RWA,Rwanda,3.TCP_fliares,1266.38825,722.7385,0
RWA,Rwanda,9.SD,367.406,0.846,0
SEN,Senegal,1.Asalariado_patr,103.369,1109.3455000000001,54.014500000000005
SEN,Senegal,3.TCP_fliares,1171.0405,1311.52975,76.52025
SEN,Senegal,9.SD,181.155,184.59,36.882
SLB,Solomon Islands,1.Asalariado_patr,7.194,100.419,0
SLB,Solomon Islands,3.TCP_fliares,143.399,105.083,0.292
SLB,Solomon Islands,9.SD,0.602,6.3790000000000004,48.021
SLE,Sierra Leone,1.Asalariado_patr,57.839,313.157,1.324
SLE,Sierra Leone,3.TCP_fliares,1300.391,700.81,3.031
SLE,Sierra Leone,9.SD,7.244,17.32,20.381
SLV,El Salvador,1.Asalariado_patr,254.515,1437.3116,0
SLV,El Salvador,3.TCP_fliares,248.1055,715.3386,0
SLV,El Salvador,9.SD,0,0.5597,0
SOM,Somalia,1.Asalariado_patr,82.018,479.848,0
SOM,Somalia,3.TCP_fliares,196.577,275.358,0
SRB,Serbia,1.Asalariado_patr,58.599636363636364,1810.1554545454546,1.778
SRB,Serbia,3.TCP_fliares,440.8972727272727,250.49890909090908,0
SRB,Serbia,9.SD,0,9.641,0
STP,Sao Tome and Principe,1.Asalariado_patr,3.617,21.787,2.112
STP,Sao Tome and Principe,3.TCP_fliares,10.363,11.854,1.666
STP,Sao Tome and Principe,9.SD,0,0,1.418
SUR,Suriname,1.Asalariado_patr,5.163,138.72,2.669
SUR,Suriname,3.TCP_fliares,8.643,25.499,0.33
SUR,Suriname,9.SD,0.493,7.0280000000000005,0.553
SVK,Slovakia,1.Asalariado_patr,45.691545454545455,1645.5935454545454,522.0547777777778
SVK,Slovakia,3.TCP_fliares,12.622909090909092,233.50081818181818,111.42933333333333
SVK,Slovakia,9.SD,0,0,0
SVN,Slovenia,1.Asalariado_patr,8.940272727272728,778.9533636363636,5.143454545454546
SVN,Slovenia,3.TCP_fliares,59.52309090909091,90.62572727272727,0.664
SWE,Sweden,1.Asalariado_patr,35.597272727272724,4247.874363636363,22.01409090909091
SWE,Sweden,3.TCP_fliares,57.449363636363636,433.04254545454546,1.8692727272727272
SWE,Sweden,9.SD,0,0.015000000000000001,0
SWZ,Eswatini,1.Asalariado_patr,20.229,167.097,0
SWZ,Eswatini,3.TCP_fliares,17.445,79.262,0
SWZ,Eswatini,9.SD,0,0,6.65
SYC,Seychelles,1.Asalariado_patr,1.0118333333333334,36.78783333333333,0.27999999999999997
SYC,Seychelles,3.TCP_fliares,0.5315,4.0815,0.105
SYC,Seychelles,9.SD,0.052,0.6338333333333334,0.181
TCD,Chad,1.Asalariado_patr,39.906,391.42699999999996,0
TCD,Chad,3.TCP_fliares,2984.505,880.987,0
TGO,Togo,1.Asalariado_patr,19.986666666666665,494.5883333333333,2.6233333333333335
TGO,Togo,3.TCP_fliares,988.8489999999999,1010.8323333333333,8.823
TGO,Togo,9.SD,2.311,4.829,6.2365
THA,Thailand,1.Asalariado_patr,2042.71325,16728.8295,59.300714285714285
THA,Thailand,3.TCP_fliares,10761.034875000001,7973.2475,2.9948333333333332
