iso3c,calificacion,ocupacion,rama,freq
BRA,3.Alta,1.Asalariado_patr,2.No_agro,19.516908011429713
BRA,1.Baja,3.TCP_fliares,2.No_agro,2.3615893878728027
BRA,2.Media,3.TCP_fliares,2.No_agro,14.484754336722567
BRA,3.Alta,3.TCP_fliares,2.No_agro,3.183894656526326
BRB,1.Baja,1.Asalariado_patr,1.Agro,0.4857017896873968
BRB,2.Media,1.Asalariado_patr,1.Agro,1.0041521822730488
BRB,3.Alta,1.Asalariado_patr,1.Agro,0.028221780494950156
BRB,1.Baja,3.TCP_fliares,1.Agro,0.19652176593026216
BRB,2.Media,3.TCP_fliares,1.Agro,1.0696430355864133
BRB,3.Alta,3.TCP_fliares,1.Agro,0.039178618975710136
BRB,1.Baja,1.Asalariado_patr,2.No_agro,13.787349231859842
BRB,2.Media,1.Asalariado_patr,2.No_agro,42.06020715840311
BRB,3.Alta,1.Asalariado_patr,2.No_agro,24.404826518732918
BRB,1.Baja,3.TCP_fliares,2.No_agro,1.1204683925226644
BRB,2.Media,3.TCP_fliares,2.No_agro,8.99888326498648
BRB,3.Alta,3.TCP_fliares,2.No_agro,6.804846260547213
BRN,1.Baja,1.Asalariado_patr,1.Agro,1.4485005868472678
BRN,2.Media,1.Asalariado_patr,1.Agro,0.7098941824765862
BRN,3.Alta,1.Asalariado_patr,1.Agro,0.2632067931881336
BRN,1.Baja,3.TCP_fliares,1.Agro,0.30449882714896936
BRN,2.Media,3.TCP_fliares,1.Agro,0.9256474597732572
BRN,3.Alta,3.TCP_fliares,1.Agro,0.12733387238877167
BRN,1.Baja,1.Asalariado_patr,2.No_agro,14.357811858578897
BRN,2.Media,1.Asalariado_patr,2.No_agro,39.25082295944084
BRN,3.Alta,1.Asalariado_patr,2.No_agro,38.454325396910576
BRN,1.Baja,3.TCP_fliares,2.No_agro,0.17238275635494435
BRN,2.Media,3.TCP_fliares,2.No_agro,2.9230710869665435
BRN,3.Alta,3.TCP_fliares,2.No_agro,1.062504219925207
BTN,1.Baja,1.Asalariado_patr,1.Agro,0.008227056015696746
BTN,2.Media,1.Asalariado_patr,1.Agro,0.5282390959980094
BTN,3.Alta,1.Asalariado_patr,1.Agro,0.010099081899587789
BTN,1.Baja,3.TCP_fliares,1.Agro,0.16292922827774703
BTN,2.Media,3.TCP_fliares,1.Agro,66.27658852851918
BTN,3.Alta,3.TCP_fliares,1.Agro,0.2238353285671812
BTN,1.Baja,1.Asalariado_patr,2.No_agro,2.20543262712171
BTN,2.Media,1.Asalariado_patr,2.No_agro,11.251231956523172
BTN,3.Alta,1.Asalariado_patr,2.No_agro,8.295984566297415
BTN,1.Baja,3.TCP_fliares,2.No_agro,0.29409162890506796
BTN,2.Media,3.TCP_fliares,2.No_agro,9.505260080314697
BTN,3.Alta,3.TCP_fliares,2.No_agro,1.2380808215605272
BWA,1.Baja,1.Asalariado_patr,1.Agro,3.814700660747608
BWA,2.Media,1.Asalariado_patr,1.Agro,3.972571220719988
BWA,3.Alta,1.Asalariado_patr,1.Agro,0.0935113041712239
