ref_area,ref_area.label,calif,1.Agro,2.No_agro,9.SD
KOS,Kosovo,1.Baja,5.913625,60.3065,0
KOS,Kosovo,2.Media,10.56375,153.805875,0
KOS,Kosovo,3.Alta,0.37675,102.561,0
KOS,Kosovo,9.SD,0.19166666666666665,7.552666666666666,0.6965
LAO,Lao People's Democratic Republic,1.Baja,22.1735,162.78300000000002,14.8605
LAO,Lao People's Democratic Republic,2.Media,1825.0775,432.206,76.019
LAO,Lao People's Democratic Republic,3.Alta,4.221,282.03150000000005,15.2965
LAO,Lao People's Democratic Republic,9.SD,0.2855,47.3905,1.8745
LBN,Lebanon,1.Baja,15.908,225.729,0
LBN,Lebanon,2.Media,39.135,793.796,0.402
LBN,Lebanon,3.Alta,1.549,436.397,0.648
LBN,Lebanon,9.SD,0,75.661,5.329
LBR,Liberia,1.Baja,61.1015,53.6735,10.3415
LBR,Liberia,2.Media,281.985,268.12149999999997,63.848000000000006
LBR,Liberia,3.Alta,2.8205,93.03049999999999,17.753999999999998
LBR,Liberia,9.SD,6.6745,10.81,371.915
LCA,Saint Lucia,1.Baja,1.5783333333333334,10.759666666666666,0.028666666666666663
LCA,Saint Lucia,2.Media,6.767333333333333,42.083999999999996,0.05633333333333334
LCA,Saint Lucia,3.Alta,0,17.862666666666666,0
LCA,Saint Lucia,9.SD,0,0,2.8213333333333335
LKA,Sri Lanka,1.Baja,725.5807272727272,989.2538181818182,88.627
LKA,Sri Lanka,2.Media,1386.2804545454546,3037.368727272727,114.071
LKA,Sri Lanka,3.Alta,37.868818181818185,1437.7352727272728,6.7683333333333335
LKA,Sri Lanka,9.SD,111.760625,47.16788888888889,0
LSO,Lesotho,1.Baja,43.131,132.097,0
LSO,Lesotho,2.Media,149.153,239.826,0
LSO,Lesotho,3.Alta,0.266,78.189,0
LSO,Lesotho,9.SD,0,2.739,0
LTU,Lithuania,1.Baja,12.414636363636363,100.51236363636363,0
LTU,Lithuania,2.Media,89.06581818181819,555.084,0
LTU,Lithuania,3.Alta,7.563,549.8734545454546,0
LTU,Lithuania,9.SD,0,4.611545454545454,0
LUX,Luxembourg,1.Baja,0.0315,19.728454545454547,1.0416363636363637
LUX,Luxembourg,2.Media,2.5926363636363634,74.63754545454546,4.104363636363637
LUX,Luxembourg,3.Alta,0.1334,133.461,8.348
LUX,Luxembourg,9.SD,0,2.382090909090909,4.081
LVA,Latvia,1.Baja,14.697545454545454,100.49845454545455,0
LVA,Latvia,2.Media,44.85481818181818,362.956,0
LVA,Latvia,3.Alta,9.927272727272728,350.0164545454545,0
LVA,Latvia,9.SD,0,5.088454545454545,0.111
MAC,"Macau, China",1.Baja,0,17.3,0
MAC,"Macau, China",3.Alta,0,8.35,0
MAR,Morocco,1.Baja,1202.43,1547.45,53.43
MAR,Morocco,2.Media,1017.96,4457.01,117.81
MAR,Morocco,3.Alta,14.38,919.23,49.02
MAR,Morocco,9.SD,6.92,118.64,60.45
MDA,Republic of Moldova,1.Baja,136.51690909090908,90.99872727272728,0
MDA,Republic of Moldova,2.Media,804.6366363636364,344.71381818181817,0
MDA,Republic of Moldova,3.Alta,9.555454545454545,292.24363636363637,0
MDA,Republic of Moldova,9.SD,0,4.882090909090909,1.373
MDG,Madagascar,1.Baja,4200.255,506.0715,0
MDG,Madagascar,2.Media,3413.3824999999997,1739.9385,16.763
MDG,Madagascar,3.Alta,8.304499999999999,378.869,0
MDG,Madagascar,9.SD,9.8465,361.85650000000004,0
MDV,Maldives,1.Baja,0.5356666666666667,17.649250000000002,0.346
MDV,Maldives,2.Media,15.95225,65.74375,0.97175
MDV,Maldives,3.Alta,0.432,52.68225,0.8553333333333333
MDV,Maldives,9.SD,0.021,3.3695,2.3015
MEX,Mexico,1.Baja,3719.6792727272727,5746.713545454545,204.17045454545456
MEX,Mexico,2.Media,2728.9087272727274,26593.38990909091,796.9314545454546
MEX,Mexico,3.Alta,116.83563636363637,8687.178272727273,97.5759090909091
MEX,Mexico,9.SD,181.0206,483.50463636363634,22.188727272727274
MHL,Marshall Islands,1.Baja,0.262,2.118,0
MHL,Marshall Islands,2.Media,0.718,7.522,0
MHL,Marshall Islands,3.Alta,0.073,5.498,0
MHL,Marshall Islands,9.SD,0,0.069,0
MKD,North Macedonia,1.Baja,84.58127272727273,48.76072727272727,0
MKD,North Macedonia,2.Media,29.253636363636364,326.9616363636364,0
MKD,North Macedonia,3.Alta,2.6203636363636362,191.64845454545454,0
MKD,North Macedonia,9.SD,0,6.049090909090909,0.32225
MLI,Mali,1.Baja,5.49,112.27685714285714,0
MLI,Mali,2.Media,3617.903142857143,1538.1971428571428,0
MLI,Mali,3.Alta,2.7365714285714287,211.09785714285715,0
MLI,Mali,9.SD,3.7,39.22614285714286,61.882
MLT,Malta,1.Baja,0.14,18.190454545454546,0
MLT,Malta,2.Media,1.8561818181818182,93.42354545454546,0
MLT,Malta,3.Alta,0.2769090909090909,79.33881818181818,0
MLT,Malta,9.SD,0,1.8414545454545455,0
MMR,Myanmar,1.Baja,2543.8168,1678.657,28.96
MMR,Myanmar,2.Media,8582.599,7738.678,85.5735
MMR,Myanmar,3.Alta,22.4346,1134.6454,6.247
MMR,Myanmar,9.SD,0.4075,16.22,1216.6100000000001
MNE,Montenegro,1.Baja,1.9983333333333333,13.973222222222223,0
MNE,Montenegro,2.Media,12.069888888888888,108.32777777777778,0
MNE,Montenegro,3.Alta,0.6843333333333333,81.08588888888889,0
MNE,Montenegro,9.SD,0,0.9034444444444445,0
MNG,Mongolia,1.Baja,2.0442727272727272,76.95627272727273,0
MNG,Mongolia,2.Media,345.05572727272727,419.6328181818182,1.143
MNG,Mongolia,3.Alta,2.658090909090909,269.5269090909091,0.438
MNG,Mongolia,9.SD,0,4.766181818181818,24.06
MOZ,Mozambique,1.Baja,77.688,347.999,0
MOZ,Mozambique,2.Media,7002.155,2004.28,1.773
MOZ,Mozambique,3.Alta,3.855,374.523,0
MOZ,Mozambique,9.SD,0,11.834,5.67
MUS,Mauritius,1.Baja,17.054454545454547,71.41681818181819,0
MUS,Mauritius,2.Media,20.50672727272727,298.5200909090909,0
